ateam,hteam,Predicted_winner,prwin,lwr,upp,round
Carlton,Richmond,Richmond,0.9521132645542901,0.7545788705499745,0.9929387959932191,1
Collingwood,Western Bulldogs,Collingwood,0.4218410237924155,0.11521303251343551,0.815971708778805,1
Fremantle,Essendon,Essendon,0.7591551822068006,0.3421979802499648,0.9456954890825009,1
Sydney,Adelaide,Adelaide,0.6255250499538869,0.22689983749514137,0.9088355817524363,1
Port Adelaide,Gold Coast,Port Adelaide,0.14202526509945032,0.021599226515540106,0.5149076872942,1
Geelong,Greater Western Sydney,Greater Western Sydney,0.5972117288115417,0.21407459176786536,0.9021685278423307,1
St Kilda,North Melbourne,North Melbourne,0.7426084032033676,0.328024148005346,0.9486718274647392,1
Brisbane Lions,Hawthorn,Hawthorn,0.6329745029295333,0.21067523732929586,0.9042572634551165,1
Melbourne,West Coast,West Coast,0.876130549078366,0.5707921843004193,0.9809789307282225,1
